ipAddress,macAddress,tenant,BD,EPG
172.16.115.11,00:50:56:60:B0:38,SERVICES,BD_1200,EPG_1200
172.16.115.12,00:50:56:62:8F:1D,SERVICES,BD_1200,EPG_1200
172.16.115.13,00:50:56:6E:EE:59,SERVICES,BD_1200,EPG_1200
172.16.114.12,00:0C:29:C4:6D:C4,SERVICES,BD_1200,EPG_1200
172.16.114.10,00:0C:29:C4:6D:C4,SERVICES,BD_1200,EPG_1200
172.16.114.13,00:0C:29:15:60:92,SERVICES,BD_1200,EPG_1200
172.16.115.41,A4:53:0E:02:55:FF,SERVICES,BD_1200,EPG_1200
172.16.114.11,00:0C:29:D1:9C:1A,SERVICES,BD_1200,EPG_1200
172.16.117.13,00:50:56:65:84:33,SERVICES,BD_1202,EPG_1202
172.16.117.12,00:50:56:6A:4F:1F,SERVICES,BD_1202,EPG_1202
172.16.117.11,00:50:56:6D:EC:5C,SERVICES,BD_1202,EPG_1202
